,PS_filename,PS_Date,S2_filename,S2_Date,band,perc_valid,m,b,Area,PS_Sat
66,I5_20170612_103a_analytic_mosaic.tif,2017-06-12,20170613T101031_S2A_MSIL2A_20170613T101608_W022_10m_S2.tif,2017-06-13,2,0.889792899408284,2.4820701936169345e-05,-0.0221843267713836,1,103a
67,I5_20170612_103a_analytic_mosaic.tif,2017-06-12,20170613T101031_S2A_MSIL2A_20170613T101608_W022_10m_S2.tif,2017-06-13,3,0.889792899408284,3.240637603121065e-05,0.041962193981866,1,103a
68,I5_20170613_0c27_analytic_mosaic.tif,2017-06-13,20170613T101031_S2A_MSIL2A_20170613T101608_W022_10m_S2.tif,2017-06-13,0,0.786612426035503,3.2193853930931345e-05,-0.0919941561442403,1,0c27
69,I5_20170613_0c27_analytic_mosaic.tif,2017-06-13,20170613T101031_S2A_MSIL2A_20170613T101608_W022_10m_S2.tif,2017-06-13,1,0.786612426035503,3.203037046553761e-05,-0.0683836729598112,1,0c27
70,I5_20170613_0c27_analytic_mosaic.tif,2017-06-13,20170613T101031_S2A_MSIL2A_20170613T101608_W022_10m_S2.tif,2017-06-13,2,0.786612426035503,3.5202610798093215e-05,-0.0733160556788876,1,0c27
71,I5_20170613_0c27_analytic_mosaic.tif,2017-06-13,20170613T101031_S2A_MSIL2A_20170613T101608_W022_10m_S2.tif,2017-06-13,3,0.786612426035503,4.215686459140844e-05,-0.0292887758963379,1,0c27
72,I5_20170622_1022_analytic_mosaic.tif,2017-06-22,20170623T101021_S2A_MSIL2A_20170623T101121_W022_10m_S2.tif,2017-06-23,0,0.5288461538461539,2.8848503423874195e-06,0.0701914250733239,1,1022
73,I5_20170622_1022_analytic_mosaic.tif,2017-06-22,20170623T101021_S2A_MSIL2A_20170623T101121_W022_10m_S2.tif,2017-06-23,1,0.5288461538461539,4.929142642699935e-06,0.0701943385714859,1,1022
74,I5_20170622_1022_analytic_mosaic.tif,2017-06-22,20170623T101021_S2A_MSIL2A_20170623T101121_W022_10m_S2.tif,2017-06-23,2,0.5288461538461539,1.1279309011794072e-05,0.0397338438900781,1,1022
75,I5_20170622_1022_analytic_mosaic.tif,2017-06-22,20170623T101021_S2A_MSIL2A_20170623T101121_W022_10m_S2.tif,2017-06-23,3,0.5288461538461539,3.4025817598642534e-06,0.2820985781051848,1,1022
76,I5_20170622_0f3f_analytic_mosaic.tif,2017-06-22,20170623T101021_S2A_MSIL2A_20170623T101121_W022_10m_S2.tif,2017-06-23,0,0.8801775147928994,2.1632587181808342e-05,-0.0359055085415929,1,0f3f
77,I5_20170622_0f3f_analytic_mosaic.tif,2017-06-22,20170623T101021_S2A_MSIL2A_20170623T101121_W022_10m_S2.tif,2017-06-23,1,0.8801775147928994,2.4500385140823103e-05,-0.0352482256100652,1,0f3f
78,I5_20170622_0f3f_analytic_mosaic.tif,2017-06-22,20170623T101021_S2A_MSIL2A_20170623T101121_W022_10m_S2.tif,2017-06-23,2,0.8801775147928994,3.1248316877329616e-05,-0.0454115657150809,1,0f3f
79,I5_20170622_0f3f_analytic_mosaic.tif,2017-06-22,20170623T101021_S2A_MSIL2A_20170623T101121_W022_10m_S2.tif,2017-06-23,3,0.8801775147928994,3.786595741132502e-05,0.0035624149755216,1,0f3f
80,I5_20170623_0c59_analytic_mosaic.tif,2017-06-23,20170623T101021_S2A_MSIL2A_20170623T101121_W022_10m_S2.tif,2017-06-23,0,0.4933431952662722,-1.3922785739711649e-06,0.0944598615026679,1,0c59
81,I5_20170623_0c59_analytic_mosaic.tif,2017-06-23,20170623T101021_S2A_MSIL2A_20170623T101121_W022_10m_S2.tif,2017-06-23,1,0.4933431952662722,-1.2748258976729792e-06,0.1022274405061989,1,0c59
82,I5_20170623_0c59_analytic_mosaic.tif,2017-06-23,20170623T101021_S2A_MSIL2A_20170623T101121_W022_10m_S2.tif,2017-06-23,2,0.4933431952662722,-2.3970881231195296e-06,0.0967201290734306,1,0c59
83,I5_20170623_0c59_analytic_mosaic.tif,2017-06-23,20170623T101021_S2A_MSIL2A_20170623T101121_W022_10m_S2.tif,2017-06-23,3,0.4933431952662722,4.591904488409295e-06,0.2782025671205962,1,0c59
84,I5_20170623_102f_analytic_mosaic.tif,2017-06-23,20170623T101021_S2A_MSIL2A_20170623T101121_W022_10m_S2.tif,2017-06-23,0,0.8812869822485208,2.1647626333814818e-05,-0.0496881660180506,1,102f
